threads mvapich2+mt pthread+hash  abt+hash  fult+hash
1 99.18 13.64 2.20  1.59
2 93.18 8.78  2.16  1.59
4 96  8.48  2.18  1.58
8 99.02 8.60  2.17  1.58
16  95.23 8.48  2.14  1.59
32  97.86 9.58  2.24  1.66
64  98.72 8.78  2.28  1.70
128 92.59 8.12  2.43  1.88
256 96.03 8.82  2.96  2.40
512 96.96 9.06  3.09  2.56
1024  98.51 8.72  3.40  2.86
2048  99.75 9.55  3.98  3.42
4096  102.07  9.84  4.55  3.97
8192  106.39  11.86 5.55  4.95
16384 168.01  35.79 7.73  7.07
32768 102.13  30.23 9.56  9.06
65536 106.46  36.83 14.69 14.25
131072  152.95  47.45 24.98 24.60
262144  121.77  61.03 45.58 45.24
524288  197.72  102.56  87.01 86.54
1048576 267.81  190.11  169.67  169.14
2097152 447.32  363.44  334.92  334.35
4194304 767.43  693.55  668.66  668.44
